File;TimeStamp;General Channel [V]; General Channel [V];K-Type TC [V]; K-Type TC [degC];K-Type TC 2 [V]; K-Type TC 2 [degC];K-Type TC 3 [V]; K-Type TC 3 [degC];K-Type TC 4 [V]; K-Type TC 4 [degC];K-Type TC 5 [V]; K-Type TC 5 [degC];K-Type TC 6 [V]; K-Type TC 6 [degC];K-Type TC 7 [V]; K-Type TC 7 [degC]
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0777_0.tiff;1151.811639;0.0079965596196985;0.0079965596196985;0.00912357727846964;221.523428417777;0.00693489459186164;168.381499801663;0.00693489459186164;168.381499801663;0.0010054241761818;24.4120265246738;0.00928808610785521;225.517756385655;0.00883747496649474;214.576771082337;0.000669253959611294;16.2497041555321
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0778_0.tiff;1152.413011;0.00803947496649474;0.00803947496649474;0.00912357727846964;221.523428417777;0.00688482668726603;167.165834767961;0.0069706573808585;169.249831968593;0.00101257673398118;24.5856929580598;0.00940252703264517;228.296419319831;0.00890184798668909;216.139768982811;0.000683559075210039;16.5970370223041
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0779_0.tiff;1153.014389;0.00796079683070164;0.00796079683070164;0.0090305940270778;219.265764783759;0.00683475878267043;165.950169734259;0.00691343691846352;167.860500501505;0.000983966502783686;23.8910272245158;0.0093166963390527;226.212422119199;0.00882316985089599;214.229438215565;0.000719321864206902;17.4653691892341
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0780_0.tiff;1153.615327;0.00790357636830666;0.00790357636830666;0.00898767868028156;218.223766183443;0.00682760622487105;165.776503300873;0.00697780993865788;169.423498401979;0.000998271618382431;24.2383600912878;0.00921656052986148;223.781092051795;0.00880886473529725;213.882105348793;0.000755084653203765;18.333701356164
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0781_0.tiff;1154.216472;0.00791072892610603;0.00791072892610603;0.00896622100688344;217.702766883285;0.00680614855147294;165.255504000715;0.00693489459186164;168.381499801663;0.000998271618382431;24.2383600912878;0.00920940797206211;223.607425618409;0.0087945596196985;213.534772482021;0.000719321864206902;17.4653691892341
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0782_0.tiff;1154.817011;0.0078678135793098;0.0078678135793098;0.00900913635367968;218.744765483601;0.00674892808907795;163.866172533627;0.00690628436066415;167.686834068119;0.0010054241761818;24.4120265246738;0.00922371308766085;223.954758485181;0.00873018659950415;211.971774581547;0.000719321864206902;17.4653691892341
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0783_0.tiff;1155.418567;0.00777483032791795;0.00777483032791795;0.00892330566008721;216.660768282969;0.00678469087807482;164.734504700557;0.00694204714966101;168.555166235049;0.000890983251391843;21.6333635904979;0.00908781448947278;220.655096250847;0.0087945596196985;213.534772482021;0.000662101401811922;16.0760377221461
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0784_0.tiff;1156.019940;0.00768184707652611;0.00768184707652611;0.0089519158912847;217.355434016513;0.00674177553127858;163.692506100241;0.00677753832027544;164.560838267171;0.000998271618382431;24.2383600912878;0.00905205170047591;219.786764083917;0.0087945596196985;213.534772482021;0.000755084653203765;18.333701356164
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0785_0.tiff;1156.620460;0.00768184707652611;0.00768184707652611;0.00891615310228784;216.487101849583;0.00677038576247607;164.387171833785;0.00686336901386792;166.644835467803;0.0010841023119749;26.3223572919198;0.0090305940270778;219.265764783759;0.00878740706189913;213.361106048635;0.00076938976880251;18.681034222936
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0786_0.tiff;1157.222033;0.00782489823251356;0.00782489823251356;0.00882316985089599;214.229438215565;0.00678469087807482;164.734504700557;0.00689913180286478;167.513167634733;0.000919593482589333;22.3280293240419;0.00909496704727215;220.828762684233;0.00883747496649474;214.576771082337;0.000726474422006275;17.6390356226201
